,userId,itemId,rating
26901,552,3994,3.5
76039,218,82857,4.5
4047,517,74789,3.0
41076,13,2609,4.0
73618,453,90249,4.0
20886,519,3979,2.5
86763,565,2880,2.5
13946,336,80489,5.0
47997,352,2959,5.0
43082,407,303,4.0
71870,110,1277,4.5
77667,385,1408,4.0
60486,526,8666,1.5
36661,223,296,4.0
64935,105,6807,4.0
28385,455,231,2.5
67812,481,1727,3.5
16806,332,1391,0.5
49925,366,5088,5.0
7108,396,509,4.0
51767,501,2006,2.0
86149,563,31685,2.0
8798,213,103253,3.0
88941,134,8961,3.0
53614,577,1021,4.0
12140,240,4967,4.0
10326,474,3062,4.0
87933,413,1258,4.0
7912,181,2571,3.0
18223,185,56775,2.0
28632,338,1748,3.5
27408,438,2396,4.0
67425,409,112552,3.5
83264,196,1187,3.0
41128,508,4488,3.0
82920,0,46965,3.0
83385,395,2797,5.0
51290,570,364,3.0
25148,488,2810,5.0
34764,367,34,4.0
83954,13,4380,3.0
85038,17,237,4.0
2250,183,79702,5.0
69290,268,2529,5.0
66068,5,1721,0.5
18512,157,1214,5.0
3443,295,2541,4.0
25678,501,552,2.0
69909,156,5507,0.5
86041,181,5,2.0
41587,355,50872,5.0
38765,533,318,5.0
57531,181,1250,3.5
42982,326,8970,5.0
21686,332,1060,3.0
42372,20,1676,3.5
56422,525,7449,2.5
10750,9,27731,3.5
72755,22,1703,4.0
49268,377,429,2.0
39673,216,54286,4.0
73162,474,3684,3.0
38315,11,231,3.0
5398,483,7261,3.5
14935,365,2054,3.5
17625,364,8949,4.0
51074,231,3072,4.0
57784,553,140110,4.0
36482,569,1079,5.0
33088,302,2918,3.5
25477,271,6378,3.0
43626,2,2413,3.0
43368,26,3646,2.0
72959,540,163,3.0
72906,571,953,4.0
31173,413,296,5.0
28315,43,102819,3.0
10050,131,3020,4.0
9405,565,3654,3.0
66115,259,318,4.5
38070,171,586,2.0
48362,233,261,4.0
79516,152,2599,3.0
17073,110,39183,4.5
87194,19,919,5.0
16904,156,2355,4.0
74203,481,2002,3.0
65114,501,3763,3.0
80230,440,292,3.5
39498,68,711,3.0
38142,295,8636,3.0
71177,35,1617,4.0
10814,73,252,4.0
55858,314,158966,4.5
31877,349,1459,2.5
82469,552,6213,4.0
47651,365,110,4.0
57711,565,5673,3.5
3309,508,5316,3.0
48007,105,48385,3.5
6078,500,2872,3.0
10886,51,1246,4.5
73056,181,2719,2.0
89745,565,161582,3.5
67687,540,536,4.0
69890,504,6242,4.5
32054,372,5618,4.0
80081,159,8957,4.0
32945,572,150,4.5
75457,68,1688,3.0
49378,248,5218,4.5
35925,92,761,4.0
38353,560,8984,2.5
18749,366,4246,2.5
54029,68,2134,2.0
13609,447,1347,5.0
38457,531,318,4.0
89649,356,1994,4.0
60491,276,7439,3.5
17969,223,368,3.0
12688,128,19,2.0
33083,9,2183,3.0
50114,110,1066,4.0
72517,202,4957,5.0
53199,266,541,5.0
3728,349,3994,3.0
70876,267,508,3.0
87274,149,1200,4.0
64504,582,318,5.0
44748,453,90405,3.0
35552,212,592,3.0
78029,24,1203,4.0
82929,179,50872,5.0
36029,181,1199,4.0
86432,246,514,2.0
80750,577,3471,4.0
47653,314,45722,4.5
34948,362,33679,4.0
35494,80,2723,4.0
35555,528,26712,4.0
46157,377,1562,2.5
15114,218,26359,4.5
656,409,90405,3.5
24856,43,155820,1.5
3247,250,1271,4.0
53725,134,54286,4.5
85470,222,1584,3.5
84922,500,5026,2.5
46272,379,1320,3.0
80472,500,5225,4.0
54471,296,51540,4.5
36303,503,648,4.0
23554,474,4220,3.0
28332,111,5995,4.0
61017,543,72998,3.5
42436,600,6711,4.0
25881,43,61132,3.5
80447,62,1088,3.0
39542,488,49263,3.0
37949,105,1956,4.0
1211,475,4262,4.0
57205,283,6377,3.5
40257,123,2184,4.0
66581,171,2268,4.0
937,515,1188,2.0
3766,247,2571,4.0
13183,171,1977,1.5
10103,149,1208,4.0
8400,161,2959,5.0
72623,507,7317,4.5
74788,215,4448,2.0
65541,445,1726,2.0
60014,215,3471,3.0
28145,218,2369,1.0
66878,491,1240,4.0
38917,322,3098,4.5
73194,517,95720,3.0
81531,277,3717,3.0
39025,30,7028,4.0
21090,218,48774,4.0
2361,329,1284,5.0
17109,44,71745,3.0
72994,13,4695,4.0
85998,65,2018,1.5
35490,65,81834,4.0
5952,431,50740,3.5
38086,46,551,5.0
84461,475,3033,4.0
82936,58,106916,0.5
32775,449,381,4.0
78604,565,4175,2.5
76856,588,59315,3.5
53101,501,1479,3.0
73424,298,1221,4.0
56952,110,1,2.5
74312,58,8784,4.5
34671,13,4605,4.0
62430,14,1270,5.0
80332,188,329,5.0
17300,515,25,4.0
65240,80,3999,2.0
67853,413,2932,4.0
51966,570,72407,2.5
54403,475,3270,2.5
72371,500,1610,4.5
19736,11,82499,3.5
88027,481,39183,4.5
6613,201,1344,4.0
83713,266,912,4.0
64418,141,2793,2.0
32369,528,2500,1.0
69244,56,585,4.0
30392,138,3033,2.0
21683,397,27776,4.5
45328,534,94959,4.0
27358,565,31685,2.5
55943,39,3448,4.5
3753,125,345,4.0
84024,334,2959,3.5
6174,563,168250,3.0
32024,604,21,5.0
25104,608,7387,5.0
26182,488,7156,4.0
57557,474,45668,3.0
30459,286,141131,2.5
19141,110,44199,4.0
3041,326,5989,5.0
50377,282,2011,3.0
15946,149,173,3.5
63840,329,940,5.0
33561,565,57368,3.0
58192,565,8917,3.0
33774,588,5378,2.5
27455,46,3418,1.0
20754,364,3033,3.0
14354,219,1304,5.0
68156,519,6709,3.5
8806,474,1792,3.0
15744,138,1320,3.0
21839,431,86332,3.5
54205,181,3213,3.0
51046,372,7063,3.5
37914,475,4372,4.0
32893,110,4464,4.0
56645,248,56171,4.0
53021,218,7419,4.0
54499,526,1260,2.0
85681,398,142448,4.0
25084,358,766,4.0
90462,2,2707,4.0
63340,186,288,3.0
16553,150,4848,3.0
17364,365,608,4.0
34542,525,185,3.0
5018,80,19,2.5
14839,376,2613,4.0
3442,263,508,4.0
51875,250,50,4.0
80840,181,30825,3.5
76450,228,916,3.5
85722,501,3716,1.0
17316,163,1721,4.0
49586,11,661,4.0
66183,377,38038,4.0
9108,382,4900,2.5
1289,97,3826,0.5
72125,46,596,4.0
43637,92,1084,4.0
20272,135,141,4.0
30134,400,292,4.0
61641,377,1995,1.0
33551,133,52,3.0
87659,475,7027,3.5
5327,16,4002,5.0
19330,565,75985,2.0
1814,120,4700,1.5
11357,327,3797,1.0
22821,44,99764,5.0
78479,283,32587,4.0
80102,565,5027,2.5
9490,565,122900,2.5
3557,65,6218,3.5
87263,528,1676,0.5
88685,526,2053,2.0
61607,196,440,4.0
20801,141,1219,4.0
18955,213,1717,3.0
83951,240,1466,4.0
43670,570,89745,3.0
87334,44,88356,0.5
49878,263,594,4.0
5683,235,32,3.0
63293,475,2262,3.0
62173,571,1282,1.0
25647,362,33794,4.5
83534,446,56775,3.0
40015,475,1644,2.0
82207,571,1947,5.0
62186,44,103249,1.5
40829,520,33493,4.5
85239,307,736,2.0
52345,182,1186,5.0
8649,336,1552,3.0
3257,143,597,5.0
61559,99,590,3.5
80211,155,6863,4.0
62692,565,1950,3.5
58727,592,109853,4.0
17642,13,3091,4.0
25026,249,1247,3.0
70796,286,1653,3.5
39312,163,117590,4.0
24466,131,1620,2.0
5932,478,29,4.0
72715,522,94478,2.5
26214,525,2916,3.0
62092,444,5989,5.0
74826,475,5152,3.0
2131,474,3074,4.0
55324,298,3512,4.0
12644,163,3527,4.0
65654,233,527,5.0
81353,377,48516,4.5
2968,364,1729,4.0
60992,573,3972,5.0
1679,178,1792,3.5
55307,163,79132,4.0
42042,278,1222,4.5
45230,162,1381,3.0
58530,507,4963,4.5
42813,599,165,5.0
22570,288,597,3.5
9544,181,2657,2.0
67577,77,106642,4.5
78419,349,6502,3.0
52528,181,45028,4.0
1842,536,1288,3.5
44203,511,81,3.0
81902,222,7349,3.0
45754,90,65088,4.0
73227,293,377,5.0
18681,557,344,4.0
16372,163,3052,3.0
18180,108,63113,3.5
1653,517,86237,5.0
70230,475,59615,2.5
8360,307,160,3.0
70624,149,328,4.5
8819,266,6731,4.5
44557,421,1036,4.0
70027,305,60069,4.0
37960,335,1035,5.0
24916,410,1676,3.5
42884,505,3053,5.0
59455,159,54001,4.0
53429,21,527,5.0
84239,518,6377,3.0
80877,565,2525,2.0
18344,365,1090,5.0
17132,517,65631,4.0
84030,183,4262,2.5
13110,62,8641,4.0
66202,181,3766,1.0
49574,446,539,4.0
62395,503,2683,3.0
55931,421,1801,5.0
66865,577,2532,3.0
53631,236,296,5.0
88628,563,97913,4.0
65915,110,7569,4.0
84559,108,74228,4.5
88333,44,7361,5.0
70314,497,2329,3.0
8628,522,81847,4.0
39221,163,1954,4.0
29544,247,2716,3.5
40720,105,3258,1.5
41905,570,87194,3.5
20710,483,1233,5.0
84688,307,282,3.0
24425,219,70,5.0
13162,552,1586,2.5
38760,63,45880,3.0
602,305,318,4.5
73114,428,58559,3.0
63500,150,4148,3.0
20926,576,494,2.0
8159,186,236,3.0
50982,282,1214,3.0
36525,215,4979,1.0
49952,334,8638,4.0
48102,602,1259,4.0
60911,432,2028,4.0
66871,108,160080,3.0
42616,528,1772,2.0
64790,348,1562,1.0
43947,13,2165,4.0
28115,13,70,4.0
23990,163,5247,2.5
1584,222,33437,5.0
84232,43,141004,2.0
66757,377,780,2.0
29685,182,1633,4.0
69055,532,7373,4.5
76708,526,80463,4.0
75436,271,5840,4.0
24056,246,3877,2.0
35711,336,33166,3.0
9032,100,69122,4.0
71422,475,1653,4.0
65683,433,3791,5.0
64039,395,4975,2.0
44093,32,4002,4.0
7897,338,3882,2.5
69537,108,7562,2.5
18474,451,44555,4.5
14918,134,1240,4.0
22470,159,3785,3.5
63223,200,1779,3.0
35888,453,6947,4.0
64394,343,2529,5.0
82551,596,87222,2.0
48898,228,7147,3.5
85405,149,60941,3.0
81092,43,104078,4.0
33335,453,2944,4.0
30515,171,6869,3.0
71166,474,1344,3.0
55929,0,84414,5.0
47223,576,3555,2.0
68382,120,121338,4.5
74727,213,51540,4.5
65535,565,4975,3.5
48941,80,30810,3.0
1001,43,72694,2.0
45726,159,48,3.0
9811,379,112556,3.0
87932,215,3578,3.0
14168,560,45186,3.0
78363,124,350,5.0
57496,248,2991,3.5
4353,0,79695,2.0
24389,432,79132,4.0
59016,509,91658,4.0
5873,315,2548,1.0
40709,120,901,1.5
62317,519,2549,2.5
76128,452,339,3.0
76479,565,4034,2.0
9791,159,71530,3.0
35424,188,34150,4.0
63948,488,1148,4.0
58624,247,6502,4.5
49456,171,4019,4.0
11355,108,37720,3.0
40059,271,48,2.5
47074,544,95167,4.5
85699,43,45447,2.0
84810,481,2232,3.5
80307,488,745,4.0
54831,582,165,4.0
29176,542,1616,3.0
25187,62,1721,4.0
79861,235,1429,4.0
87387,547,3287,4.5
27723,159,51935,4.0
68824,138,2989,3.0
30127,440,1485,3.0
48949,402,1036,4.0
82529,66,5617,5.0
49213,565,1862,1.5
38863,174,2428,2.0
84775,410,1214,5.0
71863,409,48774,4.5
38562,272,919,4.0
33618,470,2571,4.0
89944,475,5106,2.0
74938,509,100302,3.0
78648,287,733,5.0
43799,552,2080,2.5
40747,510,59258,2.0
61932,525,3654,3.0
29141,475,3157,4.0
16210,218,37741,3.0
62381,514,440,3.5
43719,223,44,3.0
89590,501,589,3.0
74456,523,4155,5.0
50034,429,3259,4.5
56466,475,43556,3.0
24460,491,60069,4.5
63621,500,3355,4.0
20059,382,8810,2.0
32918,453,91542,3.0
68039,276,6536,3.5
82757,552,1682,4.5
19856,382,8917,2.0
83987,159,522,4.0
27756,83,36,2.0
40358,540,830,3.0
7531,123,2132,5.0
11484,580,103335,4.0
59176,316,1541,3.0
29410,150,7361,4.0
40931,134,2476,4.0
25905,6,53464,2.5
72441,565,356,3.5
69818,222,1250,0.5
43721,43,105213,2.5
10891,565,743,1.0
31241,377,33085,0.5
42629,503,3753,4.0
34720,550,34437,3.5
36050,125,1252,4.5
56279,80,21,3.5
85618,394,2676,3.0
89402,167,150548,1.0
55276,413,230,3.0
83150,290,103596,3.0
66929,349,68358,3.5
81911,519,2004,2.0
90231,248,5952,5.0
48,584,5404,4.5
55667,377,8360,3.0
12667,282,2699,5.0
81505,163,8961,3.5
65164,80,5418,4.5
66843,509,79333,4.0
75594,43,8529,3.0
68856,507,6593,3.5
24457,85,927,4.0
77577,588,5952,3.0
10832,210,3552,4.0
81032,89,50,5.0
88601,228,7139,4.0
45071,295,2948,4.5
153,221,191,2.0
51008,45,73319,3.5
85444,218,2375,0.5
13740,66,2291,3.5
19113,523,158,4.5
45016,382,6218,1.5
53677,303,376,3.0
35718,246,1587,4.0
277,547,5941,4.0
54307,367,1287,4.0
73944,525,3182,3.0
5355,254,450,2.0
9302,528,4025,2.0
57399,0,128968,3.0
59047,89,32,3.5
72089,126,497,5.0
88045,565,102590,3.0
82951,120,5449,2.0
39146,149,4728,3.0
58296,327,3564,1.0
52726,565,8387,1.0
75672,528,3438,4.0
33805,171,3447,4.0
29327,514,2096,3.0
19572,85,2087,4.0
42268,527,266,3.0
62817,447,1388,5.0
24888,413,912,5.0
37559,65,6711,4.0
62650,52,2985,4.5
26043,475,562,4.0
56962,519,3270,1.0
80666,123,1393,1.0
7139,181,5528,4.0
27911,226,82461,1.5
28188,33,4034,4.0
54508,555,1635,3.0
61562,570,72641,4.0
67034,231,3251,4.0
77758,526,89745,4.0
677,373,1625,3.5
51624,555,2671,4.0
90426,36,1962,4.5
39036,122,4014,2.5
8438,240,6595,3.0
35950,197,48,1.0
81925,455,2012,3.0
1177,425,832,4.0
54722,80,30793,3.0
64758,565,1253,3.5
66322,80,3916,3.0
86505,349,61323,2.5
78441,449,236,3.0
44769,337,736,1.0
1500,71,588,3.0
88487,395,3909,2.0
25250,66,7143,4.5
75486,504,1132,3.5
62880,509,86882,3.0
38882,279,27611,5.0
82045,576,2628,3.5
79073,416,46578,2.5
57567,501,3208,3.0
54342,13,1537,5.0
70545,44,110655,1.5
30493,517,127180,4.0
2692,178,3988,2.5
81124,108,56367,4.0
30776,445,1639,3.0
3028,248,1265,5.0
27156,446,3751,4.0
60678,517,6373,3.0
37090,43,2657,4.0
44473,468,593,4.0
15848,509,106782,4.0
82262,510,80551,3.5
34584,417,457,3.0
1106,453,788,2.0
68763,348,1210,5.0
57611,121,8961,4.0
27825,161,4776,4.0
2269,62,79702,3.5
64055,59,3362,4.0
35883,68,3087,3.0
65761,282,2475,2.0
2252,6,59315,4.5
50324,35,8368,3.5
49805,273,4246,2.0
15022,455,1089,4.0
21232,560,4639,3.0
62576,24,19,3.0
21376,105,7987,2.5
84910,24,1208,5.0
18059,517,6539,3.5
34256,11,2628,3.0
89598,222,364,3.0
71234,540,293,3.0
58274,71,4306,4.5
63494,99,1230,5.0
26084,6,7360,4.5
5851,473,33493,3.5
72163,560,588,4.0
16140,213,47610,4.0
44521,138,3481,4.0
72349,65,586,3.5
64494,402,2159,5.0
54754,514,2694,2.0
68264,222,1339,4.0
25818,224,593,5.0
79225,253,79132,2.5
31984,43,4351,1.0
89893,43,160563,2.0
12500,503,1136,5.0
78037,507,2002,4.5
80470,36,912,4.0
23527,0,95147,3.0
1739,82,8950,4.0
11268,181,2301,3.0
83780,43,6814,3.0
680,475,4666,3.0
48702,526,58025,3.0
37997,233,597,4.0
76493,395,4881,3.0
636,603,527,5.0
32959,566,4016,4.5
27233,515,595,4.0
61419,532,616,4.0
61068,557,185,4.0
28165,321,3039,4.0
71322,552,71464,4.0
360,519,33437,3.5
21327,481,5943,0.5
9529,453,111364,0.5
79829,219,5171,3.5
31963,227,122886,0.5
72696,110,43376,4.5
36330,452,471,4.0
26971,599,380,2.0
26463,526,104,2.5
28496,68,3396,5.0
8703,211,110,5.0
61712,429,933,4.0
40373,120,1923,3.5
79179,47,2232,3.5
62764,185,367,3.0
59677,0,1682,4.0
23020,13,3783,4.0
37357,33,1792,2.0
87344,558,5956,2.5
40277,131,377,2.0
59921,473,1967,4.0
4874,43,55765,4.0
41998,250,4823,5.0
60673,85,648,2.0
41926,517,90746,4.0
37155,517,54185,4.0
8114,382,42725,0.5
11693,509,4995,4.0
35259,337,3175,4.0
34203,587,1213,4.5
41210,302,3421,3.5
61783,171,5116,3.5
66801,569,1912,4.0
56897,278,912,4.5
36591,163,356,4.0
21594,531,472,3.0
5107,388,1617,4.0
77542,295,4993,1.5
34624,240,7438,4.0
15638,608,47,4.5
50006,529,5628,4.0
81904,44,1196,2.0
87612,66,1246,4.5
10134,475,60756,2.0
22492,218,1653,3.0
36281,178,47629,4.0
83051,522,7444,2.5
73874,475,57368,3.0
60351,46,1036,2.0
24481,518,55577,3.5
37159,13,1454,4.0
31734,552,8961,4.0
56131,431,1028,2.5
1896,565,1387,3.5
69633,110,4226,4.0
16349,305,33660,4.0
50720,96,260,5.0
13710,138,3699,4.0
43304,171,6245,3.5
21648,525,5219,2.0
33301,231,1527,3.0
39370,182,4211,4.0
35899,571,2497,3.0
2510,336,6942,4.5
56420,13,278,2.0
36924,246,2471,1.0
68931,43,101884,1.5
64882,171,25753,4.0
57665,481,8533,5.0
62154,51,318,4.0
74571,372,176101,1.0
70037,474,4677,4.0
11440,105,2232,4.0
38570,391,50,5.0
88882,182,2917,5.0
25033,566,3000,4.0
54533,169,1206,3.0
27084,408,2431,4.0
41979,594,1387,4.0
71720,149,53125,3.5
3050,240,2353,3.5
90324,271,4993,4.0
45619,388,2067,5.0
78985,350,805,4.0
85760,273,2054,4.0
78781,519,590,3.0
50402,37,2724,4.0
75288,134,1387,5.0
64252,565,913,3.5
205,108,93598,2.5
71770,0,6294,2.5
69602,240,7153,4.0
4311,233,593,5.0
83889,431,81564,4.5
37477,149,2036,2.5
69908,266,5693,4.5
59291,96,2474,3.0
5719,68,2622,3.0
26568,576,7451,3.0
27183,149,6936,3.0
19414,12,838,4.0
32573,608,4239,4.5
4404,395,1960,4.0
18486,65,47382,3.0
6865,110,6807,4.0
53453,565,3275,3.0
17390,584,3363,3.0
73063,231,1962,5.0
12220,131,2083,3.0
2517,596,1208,4.5
14743,381,1566,4.0
89290,282,3432,1.0
82202,397,3334,4.5
48795,331,1214,4.0
86147,373,2502,4.0
19477,108,103253,3.5
77000,248,186,3.0
40502,11,98203,2.0
75778,364,68157,3.5
58255,171,7647,3.5
5198,0,164909,4.0
5730,228,48,3.0
14096,8,55363,5.0
62596,526,7222,2.5
43060,525,1729,4.0
24363,421,1127,5.0
39127,525,4223,2.0
17898,118,2746,5.0
49171,365,697,3.0
58324,178,3034,3.5
45758,532,2585,4.5
37919,218,3996,3.5
88654,479,50601,4.0
44133,59,2539,4.0
62188,134,136020,2.5
83357,210,2349,4.0
19990,474,146,3.0
80624,253,61240,4.0
18746,372,106782,3.0
77916,416,81834,3.5
87775,171,6016,4.0
67447,120,74683,4.0
67129,309,5902,0.5
84836,131,786,2.0
12864,395,1281,5.0
324,282,2411,2.0
81282,378,104,3.5
30037,304,300,3.0
20777,547,6377,5.0
87716,534,53972,3.0
21369,228,2541,3.5
53781,440,1374,3.5
59658,470,5528,3.0
87107,565,3421,2.5
80257,348,2144,5.0
13366,146,110,4.0
30375,458,3809,3.0
15799,501,2410,2.0
1321,422,5971,5.0
46336,120,4979,1.5
90631,565,29,3.5
41118,276,3753,4.0
19994,181,2405,3.0
54939,261,260,5.0
6849,171,1245,3.0
38318,381,296,3.0
28293,68,1265,4.0
6334,565,8807,2.5
46788,152,3114,4.0
63299,377,42002,2.0
39705,475,2026,2.0
700,223,344,4.0
47872,475,68157,4.0
2040,543,2987,2.0
1344,605,786,4.0
26947,278,1086,5.0
4022,475,4585,3.0
58939,246,198,2.0
14818,602,1193,5.0
59605,455,4239,4.0
70375,553,104211,4.0
16506,43,71033,4.0
10036,523,4991,4.0
29801,443,45722,2.5
48632,201,542,1.0
7010,138,912,5.0
5788,384,527,4.0
40472,526,76293,2.5
33015,523,1652,4.5
28851,171,1023,3.0
3316,52,3949,4.0
22534,523,6975,0.5
68842,120,119141,2.5
70666,99,3741,4.5
33134,246,1707,1.0
74573,604,1836,5.0
70838,349,62849,3.5
38983,604,905,5.0
10512,365,1682,4.0
6577,431,150,3.0
49920,105,1916,3.0
20981,159,3082,3.5
83532,475,5872,3.0
18349,231,3703,4.0
33595,68,2184,3.0
57328,265,539,4.0
69530,178,2944,4.0
76665,419,1282,1.5
72756,500,4890,3.5
26459,453,3623,2.5
87986,501,415,2.0
61613,110,4823,2.5
84842,537,8961,4.0
87651,545,1288,3.5
1711,352,2763,4.0
40972,560,1028,3.0
4561,570,4262,5.0
45467,16,3618,5.0
137,120,142196,4.5
2225,388,1722,3.0
43114,171,1183,2.0
22393,519,6595,4.0
79932,526,6378,4.5
46309,395,306,5.0
28393,522,345,3.5
20892,382,5881,1.0
70113,226,122912,5.0
57867,150,64614,3.0
15178,458,743,2.0
18147,0,79008,4.0
50712,149,1031,4.0
29867,397,6539,3.5
25097,182,2396,4.0
39236,431,1544,2.0
14122,11,587,3.0
21880,171,935,2.5
38872,149,3863,3.5
1013,328,2167,3.0
82125,386,6593,4.0
40949,231,1500,4.0
33766,405,81819,4.0
72714,515,229,4.0
72820,288,1732,3.0
65609,475,2877,4.0
40004,349,589,4.5
24217,348,1476,4.0
26227,134,6188,3.5
25703,250,2395,3.0
47238,452,1254,4.0
47447,276,4887,3.0
72855,431,3005,4.0
84018,43,54503,3.5
5207,519,1407,3.0
88481,599,593,5.0
71554,500,6787,4.5
75097,549,1617,4.0
2425,556,296,5.0
88172,131,1127,4.0
72447,266,2683,3.5
71681,200,1876,4.5
45695,44,91079,1.0
32383,44,168250,2.0
18918,266,1347,4.0
39817,509,142020,5.0
25485,473,2125,3.0
82780,431,296,2.0
62921,192,95510,3.5
59502,460,589,5.0
12095,43,4855,4.0
34823,108,592,4.5
1041,552,51084,3.5
63440,525,5265,3.0
61806,509,134184,4.5
66822,430,134130,4.0
83269,572,231,3.5
35748,23,4388,4.0
49914,382,82852,0.5
16044,110,6669,4.0
67669,38,140956,3.5
48576,475,3835,2.0
16959,450,1682,4.5
5325,194,3536,4.0
45332,365,5152,3.5
45077,217,2324,4.5
50400,255,2662,3.5
37401,218,3572,2.0
35304,41,252,3.0
39509,410,51080,4.0
60943,297,73017,4.5
53106,376,2987,5.0
55791,110,500,3.0
82029,565,3947,3.5
8989,332,350,0.5
3187,392,237,3.0
34878,276,4700,3.5
75717,327,3752,1.0
89486,558,48780,5.0
6304,171,1917,1.5
84076,276,227,3.0
9971,181,2537,1.0
82206,519,3421,3.5
11,196,1367,3.0
3514,481,3638,3.0
30204,349,54736,2.5
65171,534,56782,5.0
10346,560,59315,4.5
17346,441,2352,5.0
52822,314,1221,5.0
86565,159,904,3.5
1680,475,4887,2.0
5783,377,6593,2.0
84998,537,480,5.0
37608,178,1200,4.5
35832,565,4008,3.5
10972,271,36529,4.0
84531,380,2617,4.0
60894,100,96821,5.0
17825,231,1287,3.0
5299,170,2879,5.0
55039,39,158,3.0
48412,272,837,4.0
30755,31,924,5.0
51545,475,4039,3.0
58308,222,30749,3.0
82766,565,2421,3.0
35586,431,3034,3.0
41197,228,410,3.0
62864,219,3917,5.0
2998,548,6934,2.5
42469,500,4247,4.0
67803,449,122,3.0
15390,13,785,3.0
17415,285,5952,5.0
58935,307,648,3.0
32780,271,5839,4.0
4824,108,6323,3.0
23413,250,1921,3.5
63762,377,150,2.0
70826,594,930,4.0
29654,604,6658,3.5
54229,382,5377,2.0
18193,85,3072,4.0
2725,6,150,3.0
79902,570,58803,4.0
55133,238,3175,3.5
26600,543,3087,3.5
58980,165,53125,5.0
48655,565,524,2.5
71706,2,3438,4.0
3113,574,50,5.0
64305,471,6663,3.5
82561,108,8784,3.5
48245,474,3654,4.0
15888,246,180,2.0
44494,44,151315,0.5
59252,443,3997,1.0
36354,212,432,2.0
17676,505,1090,4.0
6134,352,3264,2.0
55756,481,94130,3.5
73288,250,539,4.5
76702,349,5446,3.0
59374,455,86628,4.0
19904,108,155064,3.5
83734,202,3528,4.0
86588,68,1307,3.0
16973,570,3087,4.5
